               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              4.5909,               4.209,              3.0968,            0.030451,            0.088083,            0.028784,             0.01012,              3.0689,              2.5754,              1.8068,            0.070037,           0.0033292,           0.0033292
                   1,              2.8037,              2.5237,              1.6249,             0.10259,             0.13771,            0.081934,            0.038501,               2.141,              1.8196,              1.2646,            0.039773,           0.0063987,           0.0063987
                   2,              2.3236,               2.093,              1.3454,             0.15154,             0.15785,             0.11435,            0.056983,              1.9009,              1.6258,              1.1561,           0.0092454,           0.0092042,           0.0092042
                   3,              2.0876,              1.8357,              1.2354,             0.22168,             0.18846,             0.15134,            0.079203,              1.7321,              1.4196,               1.097,            0.008812,            0.008812,            0.008812
                   4,              1.9322,              1.6633,              1.1789,             0.25972,             0.19234,             0.16772,            0.088205,              1.6461,              1.3144,               1.063,            0.008812,            0.008812,            0.008812
                   5,              1.8518,               1.567,              1.1458,             0.29431,             0.22314,             0.19386,             0.10364,              1.5898,              1.2361,              1.0458,            0.008416,            0.008416,            0.008416
                   6,              1.7422,              1.4389,              1.1057,              0.3142,             0.23242,             0.20974,             0.11426,              1.5396,              1.1876,              1.0296,             0.00802,             0.00802,             0.00802
                   7,              1.7181,              1.4082,              1.0992,             0.34483,             0.24212,             0.23299,             0.13104,              1.4757,              1.1288,              1.0075,            0.007624,            0.007624,            0.007624
                   8,              1.6879,              1.3662,              1.0883,             0.34506,             0.26253,             0.24503,             0.13825,              1.4403,              1.0987,             0.99738,            0.007228,            0.007228,            0.007228
                   9,              1.6527,              1.3219,              1.0739,              0.3581,             0.27973,             0.25867,             0.14481,              1.4266,              1.0678,             0.99238,            0.006832,            0.006832,            0.006832
                  10,              1.6008,              1.2693,              1.0568,               0.369,             0.28268,              0.2676,             0.14936,              1.4082,              1.0529,              0.9862,            0.006436,            0.006436,            0.006436
                  11,              1.5677,              1.2307,              1.0473,             0.37161,             0.28968,             0.27738,             0.15796,              1.3774,               1.022,             0.97443,             0.00604,             0.00604,             0.00604
                  12,               1.556,              1.2128,               1.044,             0.38264,             0.30079,               0.282,             0.16039,              1.3685,              1.0175,             0.97316,            0.005644,            0.005644,            0.005644
                  13,              1.5353,              1.1881,              1.0357,             0.39652,             0.29337,             0.28768,             0.16257,              1.3605,              1.0075,             0.97031,            0.005248,            0.005248,            0.005248
                  14,              1.5072,              1.1565,              1.0261,             0.39965,             0.30487,             0.29054,             0.16479,              1.3466,              1.0031,             0.96708,            0.004852,            0.004852,            0.004852
                  15,              1.4818,              1.1254,              1.0185,             0.41603,             0.30797,             0.30321,              0.1729,              1.3321,             0.97444,             0.96197,            0.004456,            0.004456,            0.004456
                  16,              1.4724,              1.1142,              1.0163,             0.41422,             0.31545,              0.3044,             0.17413,              1.3233,             0.96967,             0.95972,             0.00406,             0.00406,             0.00406
                  17,              1.4556,              1.0963,              1.0095,             0.40169,             0.30887,             0.29985,             0.16943,              1.3317,             0.97152,             0.96177,            0.003664,            0.003664,            0.003664
                  18,              1.4895,              1.1326,               1.023,             0.43138,             0.32055,             0.31315,             0.18049,              1.3051,              0.9518,             0.95343,            0.003268,            0.003268,            0.003268
                  19,              1.4806,              1.1156,              1.0208,             0.41594,             0.32593,             0.31586,               0.182,              1.3002,             0.93975,              0.9495,            0.002872,            0.002872,            0.002872
                  20,              1.4661,              1.1069,              1.0165,             0.42455,              0.3337,             0.32131,             0.18597,              1.2866,              0.9316,             0.94794,            0.002476,            0.002476,            0.002476
                  21,              1.4598,              1.0931,              1.0145,              0.4358,             0.33374,             0.32941,             0.19189,              1.2817,             0.92295,             0.94783,             0.00208,             0.00208,             0.00208
                  22,              1.4551,              1.0782,              1.0099,             0.43707,             0.33371,             0.33077,             0.19088,              1.2843,             0.92443,             0.94711,            0.001684,            0.001684,            0.001684
                  23,              1.4406,              1.0746,              1.0098,             0.43622,             0.33938,             0.33341,             0.19216,              1.2731,             0.91835,              0.9438,            0.001288,            0.001288,            0.001288
                  24,               1.434,              1.0576,              1.0042,             0.44706,             0.34348,             0.33894,             0.19774,              1.2605,              0.9061,             0.94068,            0.000892,            0.000892,            0.000892
